ID;nom;x;y;nom;iniciAne;fiAne
215;Can Roqueta II est;428160;4599367;bronze inicial;2300;1300
215;Can Roqueta II est;428160;4599367;bronze final;1300;750
215;Can Roqueta II est;428160;4599367;bronze final-primer ferro;1300;550
215;Can Roqueta II est;428160;4599367;primer ferro;750;550
216;Necròpolis de Can Piteu Can Roqueta;428135;4598815;neolític final;3300;2300
216;Necròpolis de Can Piteu Can Roqueta;428135;4598815;bronze final;1300;750
216;Necròpolis de Can Piteu Can Roqueta;428135;4598815;bronze final-primer ferro;1300;550
216;Necròpolis de Can Piteu Can Roqueta;428135;4598815;primer ferro;750;550
217;Can Roqueta-Torre Romeu;427455;4600248;neolític antic postcardial/ neolític antic evolucionat;4400;4000
217;Can Roqueta-Torre Romeu;427455;4600248;neolític mitjà;4000;3300
217;Can Roqueta-Torre Romeu;427455;4600248;bronze inicial;2300;1300
217;Can Roqueta-Torre Romeu;427455;4600248;bronze final;1300;750
217;Can Roqueta-Torre Romeu;427455;4600248;bronze final-primer ferro;1300;550
217;Can Roqueta-Torre Romeu;427455;4600248;primer ferro;750;550
218;Can Gambús 2;423240;4599870;neolític antic cardial;5500;5000
218;Can Gambús 2;423240;4599870;neolític antic postcardial/ neolític antic evolucionat;4400;4000
218;Can Gambús 2;423240;4599870;neolític mitjà;4000;3300
218;Can Gambús 2;423240;4599870;bronze inicial;2300;1300
218;Can Gambús 2;423240;4599870;bronze final;1300;750
218;Can Gambús 2;423240;4599870;primer ferro;750;550
219;Can Gambús 1;423748;4599634;neolític antic cardial;5500;5000
219;Can Gambús 1;423748;4599634;neolític mitjà;4000;3300
219;Can Gambús 1;423748;4599634;neolític final;3300;2300
219;Can Gambús 1;423748;4599634;bronze inicial;2300;1300
219;Can Gambús 1;423748;4599634;bronze final;1300;750
219;Can Gambús 1;423748;4599634;primer ferro;750;550
220;Sant Oleguer;426940;4599080;calcolític;2800;2250
221;Camp d'aviació ;425320;4597210;calcolític;3300;2300
222;Can Roqueta;427810;4599520;primer ferro;750;550
222;Can Roqueta;427810;4599520;bronze inicial-mitjà;2300;1300
223;Serra de la Salut;427530;4599698;bronze final;1300;750
224;Carrer de Ca n'Alzina (125-143 sector DIASA);427896;4598914;bronze inicial;2300;1300
224;Carrer de Ca n'Alzina (125-143 sector DIASA);427896;4598914;bronze final;1300;750
225;Carrer de Can Camps;427564;4598612;bronze inicial;2300;1300
226;Carrer de Can Alzina Solar;427722;4598924;bronze final;1300;750
226;Carrer de Can Alzina Solar;427722;4598924;bronze final-primer ferro;1300;550
227;Carretera B-140;427890;4598330;bronze final-primer ferro;1300;550
228;Torre Berardo;422740;4601440;bronze final-primer ferro;1300;550
229;Serra de Can Borgonyó;424640;4601350;bronze final;1300;750
230;Carrer de Francesc Layret;425000;4601460;bronze final;1300;750
232;Can Piteu I;428160;4599090;bronze final-primer ferro;1300;550
233;Carrer d'Espronceda – Carrer Goya;425770;4597840;bronze inicial;2300;1300
234;Parcel·la del carrer de ca n'Alzina – de Mas Carbó;427685;4599560;bronze inicial;2300;1300
234;Parcel·la del carrer de ca n'Alzina – de Mas Carbó;427685;4599560;bronze final-primer ferro;1300;550
235;Estació de bombament de la depuradora de Sabadell-Riu Ripoll;427700;4598665;bronze inicial;2300;1300
235;Estació de bombament de la depuradora de Sabadell-Riu Ripoll;427700;4598665;primer ferro;750;550
236;Els jardins de Castellarnau/Terrenys de l'Institut Sabadell-Terrassa-Carrer 0;423099;4601577;primer ferro;750;550
237;L2 Urbanització de l'aeroport de Sabadell- Sant Pau del Riu Sec-Camp d'aviació;425478;4597110;bronze inicial;2300;1300
